	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	lngdp14	lngdp14	lngdp14	lngdp14	lngdp14	lngdp14	lngdp14_lr	lngdp14	lngdp14
									
lndn13	0.296***	0.292***	0.215***	0.214***	0.251***	0.265***	0.288***	0.215***	0.215***
	[0.044]	[0.042]	[0.043]	[0.043]	[0.044]	[0.042]	[0.067]	[0.043]	[0.043]
Dpfree					0.001				
					[0.020]				
Dnfree					0.014				
					[0.039]				
lndn13_Dpfree					0.041***				
					[0.015]				
lndn13_Dnfree					0.067***				
					[0.021]				
fiw		-0.023**	-0.006	-0.015			-0.086*	-0.006	-0.006
		[0.010]	[0.010]	[0.025]			[0.048]	[0.010]	[0.010]
fiw2				0.002			0.012		
				[0.005]			[0.008]		
lndn13_fiw			0.021***	0.022***			0.032***	0.021***	0.021***
			[0.005]	[0.005]			[0.008]	[0.005]	[0.005]
autocracyFH						0.043**			
						[0.018]			
lndn13_autocracyFH						0.047***			
						[0.011]			
									
Observations	3,895	3,895	3,895	3,895	3,895	3,895	332	3,895	3,895
R-squared	0.219	0.226	0.259	0.260	0.238	0.240	0.466	0.259	0.259
Country FE	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
Year FE	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
Countries	184	184	184	184	184	184	166	184	184
sigma			0.342	0.354	0.269	0.177	0.388	0.342	0.342
sigma SE			[0.158]	[0.166]	[0.124]	[0.060]	[0.263]	[0.158]	[0.158]
sigma 95 CI			[0.14 0.78]	[0.14 0.82]	[0.09 0.62]	[0.09 0.32]	[0.12 1.06]	[0.14 0.78]	[0.14 0.78]
Robust standard errors in brackets									
*** p<0.01, ** p<0.05, * p<0.1									
