	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	lngdp14	lngdp14	lngdp14	lngdp14	lngdp14	lngdp14	lngdp14	lngdp14
								
lndn13	0.215***	0.215***	0.215***	0.215***	0.215***	0.215***	0.215***	0.215***
	[0.043]	[0.043]	[0.043]	[0.043]	[0.043]	[0.043]	[0.043]	[0.043]
fiw	-0.006	-0.006	-0.006	-0.006	-0.006	-0.006	-0.006	-0.006
	[0.010]	[0.010]	[0.010]	[0.010]	[0.010]	[0.010]	[0.010]	[0.010]
lndn13_fiw	0.021***	0.021***	0.021***	0.021***	0.021***	0.021***	0.021***	0.021***
	[0.005]	[0.005]	[0.005]	[0.005]	[0.005]	[0.005]	[0.005]	[0.005]
								
Observations	3,895	3,895	3,895	3,895	3,895	3,895	3,895	3,895
R-squared	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259
Country FE	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
Year FE	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
sigma	0.342	0.342	0.342	0.342	0.342	0.342	0.342	0.342
sigma SE	[0.158]	[0.158]	[0.158]	[0.158]	[0.158]	[0.158]	[0.158]	[0.158]
sigma 95 CI	[0.14 0.78]	[0.14 0.78]	[0.14 0.78]	[0.14 0.78]	[0.14 0.78]	[0.14 0.78]	[0.14 0.78]	[0.14 0.78]
Countries	184	184	184	184	184	184	184	184
Robust standard errors in brackets								
*** p<0.01, ** p<0.05, * p<0.1								
