	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	lngdp14	lngdp14	lngdp14	lngdp14	lngdp14	lngdp14	lngdp14
							
lndn13	0.311***	0.339***	0.280***	0.249***	0.269***	0.202***	0.193***
	[0.034]	[0.034]	[0.034]	[0.037]	[0.037]	[0.043]	[0.053]
fiw	-0.003	0.002	0.011	-0.014	-0.002	-0.023	0.001
	[0.025]	[0.023]	[0.023]	[0.025]	[0.026]	[0.026]	[0.025]
fiw2	-0.004	-0.007	-0.007	0.001	-0.001	0.002	-0.002
	[0.005]	[0.005]	[0.004]	[0.005]	[0.005]	[0.005]	[0.005]
lndn13_fiw	0.000	-0.013***	-0.007*	0.014***	0.010**	0.017***	0.015**
	[0.004]	[0.004]	[0.004]	[0.004]	[0.004]	[0.005]	[0.006]
							
Observations	3,740	3,567	3,515	3,813	3,725	3,566	2,849
R-squared	0.269	0.262	0.207	0.231	0.246	0.214	0.194
Country FE	Yes	Yes	Yes	Yes	Yes	Yes	Yes
Year FE	Yes	Yes	Yes	Yes	Yes	Yes	Yes
sigma	0.002	-0.132	-0.090	0.195	0.129	0.259	0.270
sigma SE	[0.046]	[0.043]	[0.046]	[0.094]	[0.077]	[0.140]	[0.203]
sigma 95 CI	[-0.08 0.10]	[-0.23 -0.06]	[-0.19 -0.00]	[0.05 0.40]	[0.01 0.30]	[0.07 0.59]	[0.04 0.90]
Pct dropped	0.040	0.084	0.098	0.021	0.044	0.084	0.269
Countries	184	184	184	180	176	175	184
Robust standard errors in brackets							
*** p<0.01, ** p<0.05, * p<0.1							
