	(1)	(2)	(3)	(4)	(5)
VARIABLES	lncons	lninv	lngov	lnexp	lnimp
					
lndn13	0.234***	0.227***	0.213***	0.251***	0.230***
	[0.036]	[0.047]	[0.041]	[0.052]	[0.035]
fiw	-0.004	0.014	0.003	-0.019	-0.021
	[0.028]	[0.034]	[0.029]	[0.036]	[0.026]
fiw2	-0.001	-0.007	-0.002	-0.002	0.001
	[0.005]	[0.007]	[0.005]	[0.007]	[0.004]
lndn13_fiw	0.009*	0.016***	0.016***	0.011	0.009*
	[0.005]	[0.006]	[0.005]	[0.007]	[0.005]
					
Observations	3,416	3,414	3,416	3,416	3,416
R-squared	0.384	0.752	0.623	0.631	0.654
Country FE	Yes	Yes	Yes	Yes	Yes
Year FE	Yes	Yes	Yes	Yes	Yes
sigma	0.128	0.249	0.261	0.159	0.143
sigma SE	[0.089]	[0.143]	[0.136]	[0.148]	[0.094]
sigma 95 CI	[-0.03 0.31]	[0.07 0.60]	[0.07 0.59]	[-0.05 0.49]	[0.00 0.35]
Countries	173	173	173	173	173
Robust standard errors in brackets					
*** p<0.01, ** p<0.05, * p<0.1					
