	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	gdp_pc	Log_gdp_pc	Q_gdp_pc	avdn	lndn	Q_avdn	UN_cat	WB_cat
								
lndn13	0.221***	0.596***	0.251***	0.214***	0.216***	0.215***	0.165***	0.162***
	[0.044]	[0.111]	[0.061]	[0.044]	[0.048]	[0.055]	[0.061]	[0.056]
fiw	-0.015	-0.017	-0.021	-0.015	-0.015	-0.013	-0.018	-0.017
	[0.025]	[0.024]	[0.025]	[0.025]	[0.025]	[0.025]	[0.025]	[0.025]
fiw2	0.001	0.001	0.002	0.002	0.002	0.001	0.002	0.001
	[0.005]	[0.004]	[0.005]	[0.005]	[0.005]	[0.005]	[0.005]	[0.005]
lndn13_fiw	0.021***	0.015***	0.018***	0.022***	0.021***	0.022***	0.021***	0.019***
	[0.006]	[0.005]	[0.006]	[0.006]	[0.006]	[0.006]	[0.006]	[0.005]
lndn13_x2			-0.022			-0.031		
			[0.063]			[0.055]		
lndn13_x3			-0.081			0.034		
			[0.055]			[0.066]		
lndn13_x4			-0.125**			0.012		
			[0.057]			[0.063]		
lndn13_x5			-0.138			-0.001		
			[0.088]			[0.084]		
lndn13_x	-0.000	-0.055***		-0.000	-0.005			
	[0.000]	[0.015]		[0.007]	[0.032]			
lndn13_Ddeveloping							0.082	
							[0.058]	
lndn13_Dleastdeveloped							0.046	
							[0.065]	
1b.inclev#co.lndn13								0.000
								[0.000]
2.inclev#c.lndn13								0.097
								[0.064]
3.inclev#c.lndn13								0.042
								[0.057]
4.inclev#c.lndn13								0.052
								[0.060]
								
Observations	3,882	3,882	3,882	3,895	3,895	3,895	3,895	3,895
R-squared	0.265	0.288	0.274	0.260	0.260	0.262	0.264	0.264
Country FE	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
Year FE	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
sigma	0.360	0.300	0.375	0.355	0.356	0.306	0.439	0.420
sigma SE	[0.195]	[0.208]	[0.279]	[0.168]	[0.166]	[0.177]	[2.076]	[0.557]
sigma 95 CI	[0.12 0.87]	[0.06 0.84]	[0.11 1.28]	[0.14 0.82]	[0.13 0.82]	[0.11 0.87]	[0.12 1.67]	[0.13 1.47]
Countries	183	183	183	184	184	184	184	184
Robust standard errors in brackets								
*** p<0.01, ** p<0.05, * p<0.1								
